,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,75,US,1558921356,40,42.65,-73.75,73.0,10.29
1,Souillac,90,FR,1558921356,93,45.6,-0.6,59.0,3.36
2,Weligama,47,LK,1558921356,79,5.97,80.42,84.47,11.25
3,Avarua,8,CK,1558921357,65,-21.21,-159.78,78.8,8.05
4,Pevek,87,RU,1558921357,94,69.7,170.27,33.35,9.28
5,Busselton,0,AU,1558921358,58,-33.64,115.35,55.99,14.58
6,Sandpoint,1,US,1558921358,34,48.28,-116.55,64.4,14.99
7,Kruisfontein,100,ZA,1558921358,70,-34.0,24.73,61.97,6.46
8,Bredasdorp,100,ZA,1558921359,77,-34.53,20.04,64.4,6.93
9,Geraldton,40,CA,1558921359,39,49.72,-86.95,48.2,3.36
10,Rikitea,100,PF,1558921359,84,-23.12,-134.97,71.87,25.17
11,Chuy,100,UY,1558921360,86,-33.69,-53.46,61.61,9.22
12,Stykkisholmur,10,IS,1558921360,71,65.08,-22.73,40.91,5.82
13,Amapa,75,HN,1558921361,78,15.09,-87.97,80.6,11.41
14,Mar del Plata,5,AR,1558921361,68,-46.43,-67.52,42.35,13.71
15,Punta Arenas,0,CL,1558921361,93,-53.16,-70.91,37.4,14.99
16,Tuktoyaktuk,75,CA,1558921361,83,69.44,-133.03,39.2,12.75
17,Khatanga,77,RU,1558921362,100,71.98,102.47,40.19,8.9
18,Ous,98,RU,1558921362,84,60.91,61.52,52.79,9.42
19,Castro,20,CL,1558921137,100,-42.48,-73.76,39.2,3.96
20,Butaritari,38,KI,1558921363,78,3.07,172.79,84.65,15.52
21,Kapaa,75,US,1558921140,65,22.08,-159.32,84.2,11.41
22,Nikolskoye,75,RU,1558921363,87,59.7,30.79,48.99,4.47
23,Tiksi,12,RU,1558921363,89,71.64,128.87,31.73,2.66
24,East London,62,ZA,1558921364,23,-33.02,27.91,72.05,9.51
25,Airai,10,TL,1558921364,46,-8.93,125.41,90.23,1.81
26,Torbay,90,CA,1558921365,93,47.66,-52.73,33.01,8.05
27,San Jeronimo,2,PE,1558921365,85,-13.65,-73.37,42.35,5.35
28,Hobart,40,AU,1558921365,55,-42.88,147.33,51.01,8.05
29,North Bend,90,US,1558921366,87,43.41,-124.22,59.0,11.41
30,Christchurch,100,NZ,1558921366,76,-43.53,172.64,63.0,3.36
31,Garowe,33,SO,1558921366,59,8.41,48.48,81.59,15.55
32,Yellowknife,20,CA,1558921366,33,62.45,-114.38,59.0,21.92
33,Romny,0,UA,1558921367,90,50.74,33.49,52.61,5.39
34,Qaanaaq,100,GL,1558921367,98,77.48,-69.36,26.69,7.52
35,Ushuaia,75,AR,1558921367,74,-54.81,-68.31,37.4,4.7
36,Anahuac,1,US,1558921368,74,29.77,-94.68,82.4,5.82
37,Keetmanshoop,100,NA,1558921368,29,-26.57,18.15,62.6,5.82
38,Coquimbo,0,CL,1558921368,76,-29.95,-71.34,57.99,4.7
39,Mahebourg,75,MU,1558921369,78,-20.41,57.7,75.2,10.29
